station_name,complex_id,ridership_2012,ridership_2013,ridership_2014,ridership_2015,ridership_2016,ridership_2017
Briarwood-Van Wyck Blvd,258,1563242,1427813,1427017,1479278,1515926,1489396
Kew Gardens-Union Turnpike,259,8296905,8609185,8363109,8354731,8109611,7811007
75 Av,260,1130707,1155836,1131705,1136305,1102600,994127
Forest Hills-71 Av,261,8342293,8573480,8585239,8654547,8581096,8748221
67 Av,262,2770364,2818350,2851905,2853794,2807769,2695321
63 Dr-Rego Park,263,4998378,5129203,5272014,5244226,5219811,4991559
Woodhaven Blvd,264,7157320,7157254,7125205,7120037,7144921,6871409
Grand Av-Newtown,265,5741626,5832568,5861823,5995764,6057028,5792378
Elmhurst Av,266,4344648,4343633,4362316,4350714,4268747,4039686
65 St,268,1131591,1124823,1159576,1192281,1183534,1120703
Northern Blvd,269,2214223,2239136,2290836,2282296,2264100,2140551
46 St,270,2978233,3014082,3021219,2956981,2904517,2781811
Steinway St,271,4866245,4798179,4807448,4779346,4703321,4733777
36 St,272,1257059,1278109,1307054,1339754,1355271,1362430
Queens Plaza,273,2747366,2855006,3005223,3101888,3124028,3374948
5 Av-53 St,276,6744422,7298061,7543062,7597212,7240517,7111270
7 Av,277,4384090,4744808,5092341,5252615,5162589,5105535
Jamaica Center-Parsons-Archer,278,12204423,12507906,12784635,12622977,12470914,11604228
Sutphin Blvd-Archer Av-JFK Airport,279,6975316,7303038,7633725,7767728,7904869,7457153
Jamaica-Van Wyck,280,1552178,1565998,1587413,1545016,1536716,1555962
21 St,282,469173,422616,427353,533529,580065,598061
Greenpoint Av,283,2521422,2543568,2428027,2902723,2951454,2934770
Nassau Av,284,2479649,2653526,2760220,2916005,2851899,2765172
Broadway,286,1023397,1071877,1124407,1313362,1397227,1385797
Flushing Av,287,655317,728668,808421,866803,877269,849840
Myrtle-Willoughby Avs,288,1440313,1578243,1722392,1875988,1887369,1765653
Bedford-Nostrand Avs,289,2138852,2348998,2513681,2634066,2697942,2779124
Classon Av,290,1355886,1432872,1477256,1604508,1581663,1585121
Clinton-Washington Avs,291,1637463,1678004,1652336,1716023,1656058,1551042
Fulton St,292,1280063,1394890,1485669,1643353,1639930,1698778
Van Cortlandt Park-242 St,293,2041551,2148667,2188428,2266986,2294482,2249314
238 St,294,1106353,1092492,1209623,1240616,1327862,1335877
231 St,295,2829503,2757855,2912283,2966015,3013521,3013031
Marble Hill-225 St,296,1721707,1725406,1846582,1809998,1777035,1726646
215 St,297,599790,638224,626312,615177,636441,617727
207 St,298,2205288,1966949,2049587,2090297,2148169,2097830
Dyckman St,299,1231954,2094538,2298848,2317843,2410021,2329753
191 St,300,2512719,2598961,2700904,2713440,2730419,2657964
181 St,301,3496979,3608658,3751020,3779275,3772385,3742446
157 St,303,3381015,3458058,3481873,3516545,3542519,3488053
145 St,304,3289827,3274106,3364151,3338110,3328994,3208921
137 St-City College,305,4634498,4825267,4542044,4646578,4564432,4440108
125 St,306,2560513,2649847,2578729,2555321,2524125,2438960
116 St-Columbia University,307,4942022,5044561,4917691,4846181,4797152,4586341
Cathedral Pkwy-110 St,308,4491643,4557743,4301285,4280482,4160302,3947489
103 St,309,4366343,4427199,4199559,4258632,4290142,4114291
96 St,310,12108040,12582947,13108304,13008596,12700397,11948981
86 St,311,6219513,6333352,6519979,6464625,6359252,5988837
79 St,312,5292422,5438078,5601595,5534255,5371624,5102655
72 St,313,13043031,13456906,13375012,13341361,13257766,12749746
66 St-Lincoln Center,314,7367599,7527781,7772308,7790234,7606975,7002620
50 St,316,7927578,8074270,8450496,8266677,8157242,7751756
34 St-Penn Station,318,27010176,27730331,28638643,28309160,27741367,26034238
28 St,319,4346501,4548738,4666347,4665377,4544976,4348170
23 St,320,4654520,4818903,4883773,4884678,4703374,4557216
18 St,321,2533877,2585522,2622558,2676304,2687128,2594336
Christopher St-Sheridan Sq,323,3435088,3433544,3480159,3363949,3307136,3193169
Houston St,324,4287926,4510538,4562690,4377409,4375993,4326280
Canal St,325,1727415,1787110,1859071,1830920,1801063,1756236
Franklin St,326,1714218,1703889,1745841,1731354,1782203,1700180
Chambers St,327,6603287,6755281,6973674,7054771,6948976,6459435
Cortlandt St,328,0,0,0,0,0,
Rector St,329,3055453,3398383,3393420,3042815,2805381,2861772
Wall St,333,7034940,7473489,7845023,7650853,7689447,6935020
Clark St,334,1855650,1972314,2018876,1997148,2000024,1631139
Hoyt St,336,1978582,2033085,2181465,2249892,2356001,2137478
Nevins St,337,3454621,3477861,3580156,3310625,3220745,3271270
Bergen St,339,1397036,1296199,1236513,1210571,1231084,1180684
Grand Army Plaza,340,2507555,2556750,2505721,2433907,2425948,2265097
Eastern Pkwy-Brooklyn Museum,341,1578613,1674856,1665524,1676659,1585048,1530635
Nostrand Av,343,1313227,1327377,1358826,1386067,1358853,1295175
Kingston Av,344,1515277,1545567,1564089,1573003,1560437,1474988
Crown Heights-Utica Av,345,8469613,8534705,8690082,8965908,9051970,8954499
Sutter Av-Rutland Rd,346,2288256,2419794,2467381,2420464,2035027,1049559
Saratoga Av,347,1676421,1777399,1791700,2442282,1208956,1702107
Rockaway Av,348,1682755,1753354,1763824,526505,1534978,1685468
Junius St,349,660013,690625,727369,928235,681935,298119
Pennsylvania Av,350,1690851,1752108,1746438,2111790,753493,1054654
Van Siclen Av,351,1016466,1060055,1048755,304082,1250237,1078048
New Lots Av,352,1857630,1975478,2038532,2155220,2065205,1810576
President St,353,1142008,1216019,1221048,1243976,1226582,1227134
Sterling St,354,1803628,1866122,1785975,1822524,1805238,1787994
Winthrop St,355,2171267,2275444,2263671,2241716,2146809,2148162
Church Av,356,2987887,3059215,3020066,3070551,3027658,2916680
Beverly Rd,357,1274789,1364573,1360719,1392643,1379958,1348244
Newkirk Av,358,2279365,2393978,2431300,2476287,2395551,2315386
Flatbush Av-Brooklyn College,359,6384496,6562226,6447908,6487608,6321530,6107780
Pelham Bay Park,360,2030215,2096130,2318533,2337689,2208725,2207720
Buhre Av,361,1008640,1111659,637600,661527,1048776,1094122
Middletown Rd,362,566771,441950,661242,795762,598447,609861
Westchester Sq-East Tremont Av,363,1964525,2043649,2177402,2056555,1952473,1917007
Zerega Av,364,849815,985388,599478,492883,784314,799739
Castle Hill Av,365,2327404,1756879,1491030,2174412,2100194,2071819
Parkchester,366,4687402,5215409,5586943,5224959,5201901,5071740
St Lawrence Av,367,1212796,1280074,1315456,1320571,1329758,1334387
Morrison Av-Soundview,368,2057570,2096942,2125383,2097203,2135920,2125767
Elder Av,369,1936349,2041453,2084044,2080228,2117178,2107677
Whitlock Av,370,524988,534489,543798,545079,571352,595385
Hunts Point Av,371,3204779,3158343,3138131,3305563,3269585,3243725
Longwood Av,372,1065764,1087990,1098022,1088970,1081519,1084049
East 149 St,373,1403118,1457795,1460311,1479241,1518946,1531045
East 143 St-St Mary's St,374,285464,273895,279012,298462,313386,285667
Cypress Av,375,1097947,1186696,1226878,1228311,1265930,1230910
Brook Av,376,1901192,1970010,2002825,1981721,1964831,1938814
3 Av-138 St,377,2304717,2443326,2534036,2531974,2509085,2515479
Woodlawn,378,2417765,2423278,2375663,2418890,2380900,2242100
Mosholu Pkwy,379,2906150,2917501,2886764,2891451,2836370,2695090
Bedford Park Blvd-Lehman College,380,1796392,1853706,1827260,1863892,1812036,1716853
Kingsbridge Rd,381,3173688,3198725,3149605,3171646,3126119,3024692
Fordham Rd,382,3947625,3946955,3857749,3892140,3858183,3656367
183 St,383,1997038,2002633,2007140,2057944,2071316,2001410
Burnside Av,384,3508076,3560191,3558297,3641720,3617308,3442348
176 St,385,1764100,1837995,1848854,1969221,2036529,1943854
Mt Eden Av,386,1818870,1848483,1824861,1844131,1824478,1708790
170 St,387,2980786,2961575,2941958,3045205,3038777,2785331
167 St,388,3039634,3081534,3067345,3180274,3179087,2954228
138 St-Grand Concourse,391,939284,957984,1033559,1056380,1070024,1036746
125 St,392,8965496,9290210,9574765,9586567,9431163,9088393
116 St,393,5264035,5347692,5370343,5324072,5336694,5066069
110 St,394,3740549,3841826,3955522,4209449,4196711,3734660
103 St,395,4861001,5038138,5198601,4031201,4336922,4402069
96 St,396,7708346,7785646,7958453,8294978,8004488,5576058
86 St,397,19686985,20528208,20735032,20890828,20337593,14277369
77 St,398,11109431,11167386,11454604,11014861,10927200,8276168
68 St-Hunter College,399,10373302,10520477,10545971,10237854,10124694,6998999
33 St,403,9374676,9756409,9798598,9701723,9577123,8916102
28 St,404,6688570,7076992,7107083,7214293,7161164,6836061
23 St,405,8901705,9200337,9033835,8627481,8539378,8265227
Astor Place,407,5535996,5775276,5751688,5447655,5271496,5245449
Spring St,409,3999949,4123703,4169799,3804403,3792870,3701740
Wall St,413,6658687,7231884,7437325,6708745,6148384,5704122
Bowling Green,414,7990789,9081649,10261064,9153462,8870811,8234513
Wakefield-241 St,416,1603076,1528793,1669608,1654707,1662337,1578125
Nereid Av,417,1086227,1195804,1183733,1162973,1131328,1085289
233 St,418,1674406,1719181,1803693,1762923,1688487,1565455
225 St,419,1382626,1400377,1445591,1439495,1365544,1323910
219 St,420,1063058,1099491,1124522,1108859,1049128,1044200
Gun Hill Rd,421,2235325,2304780,2477798,2449555,2473814,2429804
Burke Av,422,1086792,1133298,1158787,1139826,1099582,1064119
Allerton Av,423,1689145,1747352,1829712,1821628,1733740,1678247
Pelham Pkwy,424,2882651,3028494,3084862,3066190,2955589,2849210
Bronx Park East,425,860554,914831,933109,877311,841547,799927
East 180 St,426,2098429,2152570,2445421,2368031,2518622,2589024
West Farms Sq-East Tremont Av,427,2428999,2514240,2567773,2437882,2465907,2388659
174 St,428,2152009,2301756,2374812,2313651,2411413,2334317
Freeman St,429,1393186,1486965,1517066,1492757,1588448,1556949
Simpson St,430,2810789,3027856,3121036,3048014,3046838,2965807
Intervale Av,431,937280,1048501,1095221,1039265,1061240,1045483
Prospect Av,432,2125066,2311798,2445131,2394820,2513169,2413743
Jackson Av,433,1520612,1686061,1753555,1731638,1802193,1794781
3 Av-149 St,434,7525904,7310115,7763151,7363663,7609968,7458222
Harlem-148 St,436,1110842,1171372,1209633,1269910,1220407,1209846
145 St,437,1014623,1073259,1114674,1137484,1086105,1093045
